"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","06-Aug-2018","       1364.10","       1366.05","       1375.00","       1347.50","       1364.00","       1360.65","       1358.60","    3089465","          4197345187.20","      68270","    2128983","         68.91"
"INFY","EQ","07-Aug-2018","       1360.65","       1374.00","       1379.95","       1360.65","       1367.00","       1367.95","       1366.36","    3675764","          5022426260.90","     100730","    1600841","         43.55"
"INFY","EQ","08-Aug-2018","       1367.95","       1371.80","       1372.50","       1353.30","       1362.00","       1362.75","       1362.16","    1996179","          2719109392.50","      80731","    1405581","         70.41"
"INFY","EQ","09-Aug-2018","       1362.75","       1373.65","       1389.45","       1373.65","       1379.20","       1379.95","       1381.59","    3204762","          4427681632.70","     134300","    2092586","         65.30"
"INFY","EQ","10-Aug-2018","       1379.95","       1385.80","       1389.00","       1373.05","       1382.25","       1385.45","       1380.64","    2389760","          3299401064.30","      82581","    1661604","         69.53"
"INFY","EQ","13-Aug-2018","       1385.45","       1390.00","       1409.85","       1378.70","       1408.00","       1408.75","       1401.07","    4989873","          6991140982.00","     138356","    2323354","         46.56"
"INFY","EQ","14-Aug-2018","       1408.75","       1413.95","       1424.55","       1404.00","       1407.45","       1408.30","       1414.34","    3075660","          4350014452.65","     102688","    1670272","         54.31"
"INFY","EQ","16-Aug-2018","       1408.30","       1414.95","       1434.90","       1411.25","       1429.00","       1429.55","       1426.82","    3313387","          4727597210.35","     115380","    2278814","         68.78"
"INFY","EQ","17-Aug-2018","       1429.55","       1430.90","       1437.65","       1423.00","       1426.55","       1430.35","       1430.85","    3195204","          4571856691.40","     122779","    2222525","         69.56"
"INFY","EQ","20-Aug-2018","       1430.35","       1388.00","       1407.95","       1373.50","       1388.20","       1384.25","       1389.04","    8050938","         11183093868.30","     249766","    3747784","         46.55"
